Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood,Zip.Code
2.018E+11,1/8/18,2008,1/8/18,2252,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,EAST,E,E3,FIRST HILL,98122
2.018E+12,3/16/18,1421,3/17/18,1421,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E3,FIRST HILL,98122
2.018E+12,3/18/18,205,3/18/18,205,TRESPASS,TRESPASS,EAST,E,E3,FIRST HILL,98122
2.018E+12,3/18/18,300,3/18/18,1506,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+12,3/17/18,1900,3/18/18,833,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
2.018E+12,3/18/18,1233,3/18/18,1504,AGGRAVATED ASSAULT,ASSLT-AGG-GUN,EAST,G,G1,FIRST HILL,98122
2.018E+12,3/15/18,0,3/18/18,1848,SEX OFFENSE-OTHER,SEXOFF-INDECENT LIBERTIES,EAST,G,G1,FIRST HILL,98122
2.018E+12,3/16/18,1200,3/19/18,2026,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+12,3/13/18,2000,3/19/18,1821,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,EAST,G,G1,FIRST HILL,98122
2.018E+12,3/19/18,1500,3/19/18,1859,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,EAST,E,E3,FIRST HILL,98122
2.018E+12,3/19/18,1912,3/19/18,2005,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,EAST,G,G1,FIRST HILL,98122
2.018E+12,3/19/18,2301,3/19/18,2301,DUI,DUI-LIQUOR,EAST,G,G1,FIRST HILL,98122
2.018E+12,3/19/18,1700,3/20/18,1024,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,EAST,E,E3,FIRST HILL,98122
2.018E+12,1/9/18,703,1/9/18,703,CAR PROWL,THEFT-AUTOACC,SOUTH,O,O3,GEORGETOWN,98108
2.018E+12,1/9/18,856,1/9/18,856,CAR PROWL,THEFT-CARPROWL,SOUTH,O,O2,GEORGETOWN,98108
2.018E+13,3/22/18,1730,3/23/18,1516,THEFT-ALL OTHER,THEFT-OTH,SOUTH,O,O3,GEORGETOWN,98108
2.018E+13,3/24/18,2138,3/24/18,2138,SEX OFFENSE-OTHER,SEXOFF-OTHER,SOUTH,O,O2,GEORGETOWN,98108
2.018E+13,3/26/18,30,3/26/18,114,DUI,DUI-LIQUOR,SOUTH,O,O3,GEORGETOWN,98108
